Voltage (V), Current (A)
0.14236574,0.96348712
0.37891257,0.78546329
0.54987643,0.63298501
0.72390871,0.48762135
0.90123456,0.35671289
0.08234679,0.23897654
0.31234567,0.13245678
0.57432109,0.03691248
0.83901234,0.95012345
0.19654378,0.79654321
0.43812765,0.65432109
0.69275348,0.52345678
0.96043210,0.40321987
0.23245678,0.29275348
0.51897235,0.19135802
0.80987654,0.09876543
0.10543210,0.01419753
0.40765432,0.93679012
0.71432098,0.87154320
0.02543210,0.81543210
0.34765432,0.76851852
0.68320987,0.73086420
0.03154321,0.70246914
0.38296296,0.68333333
0.73827160,0.67345679
0.09753086,0.67283951
0.45987654,0.68148148
0.82641975,0.69938272
0.19753086,0.72654321
0.57283951,0.76296296
0.95123457,0.80864198
0.33641975,0.86358025
0.72641975,0.92777778
0.12129630,1.00123457
0.52037037,1.08395062
0.92376543,1.17592593
0.33086420,1.27716049
0.74259259,1.38765432
0.15864198,1.50740741
0.57962963,1.63641975
0.00493827,1.77469136
0.43456790,1.92222222
0.86913580,2.07801235
0.30987654,2.24206173
0.75543210,2.41432099
0.20679012,2.59475309
0.66388889,2.78333333
0.12654321,2.98006173
0.59413580,3.18493827
0.06666667,3.39796296
0.54320988,3.61913580
1.02530864,3.84845679
0.51358025,4.08592593
1.00740741,4.33154321
0.50740741,4.58530864
1.00740741,4.84722222
0.51358025,5.11728395
1.02530864,5.39549383
0.54320988,5.68185185
0.06666667,5.97635802
0.59413580,6.27801235
0.12654321,6.58681481
0.66388889,6.90276543
0.20679012,7.22586420
0.75543210,7.55611111
0.30987654,7.89350617
0.86913580,8.23804938
0.43456790,8.58974074
0.00493827,8.94858025
0.57962963,9.31456790
0.15864198,9.68770370
0.74259259,10.06798765
0.33086420,10.45541975
0.92376543,10.85000000
0.52037037,11.25172840
0.12129630,11.66060494
0.72641975,12.07662963
0.33641975,12.49980247
0.95123457,12.93012346
0.57283951,13.36759259
0.19753086,13.81220988
0.82641975,14.26397531
0.45987654,14.72288889
0.09753086,15.18895062
0.73827160,15.66216049
0.38296296,16.14251852
0.03154321,16.63002469
0.68320987,17.12467901
0.34765432,17.62648148
0.02543210,18.13543210
0.71432098,18.65153086
0.40765432,19.17477778
0.10543210,19.70517284
0.80987654,20.24271605
0.51897235,20.78740741
0.23245678,21.33924691
0.96043210,21.89823457
0.69275348,22.46437037
0.43812765,23.03765432
0.19654378,23.61808642
0.83901234,24.20566667
0.57432109,24.80039506
0.31234567,25.40227160
0.08234679,26.01129630
0.90123456,26.62746914
0.72390871,27.25079012
0.54987643,27.88125926
0.37891257,28.51887654
0.14236574,29.16364198
